"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (BRL)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2026-02-25,2026-03-26,"Post do Instagram: Um fim de semana para...",inactive,7,actions:link_click,0.31428571,"Using campaign budget",0,2.2,228,224,2026-03-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-04T19:52:10-0300,-,-,-,"Instagram Post"
2026-02-25,2026-03-26,"Instagram post: Às vezes tudo o que vocês...",archived,1,actions:link_click,2.69,"Using campaign budget",0,2.69,128,103,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post"
2026-02-25,2026-03-26,"Instagram post: Já imaginou reservar esse refúgio...",inactive,14,actions:link_click,0.39357143,"Using campaign budget",0,5.51,573,515,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-05T13:28:19-0300,-,-,-,"Instagram Post"
2026-02-25,2026-03-26,"Instagram post: Às vezes tudo o que vocês...",inactive,2,actions:link_click,0.27,"Using campaign budget",0,0.54,63,62,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-05T11:45:15-0300,-,-,-,"Instagram Post"
2026-02-25,2026-03-26,Traffic_Ad_1,inactive,15,actions:omni_landing_page_view,2.074,100,Daily,31.11,3422,3290,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-05T18:55:09-0300,"Above average","Above average","Below average - Bottom 10% of ads",Manual_Traffic_Ad_Set_1
2026-02-25,2026-03-26,Traffic_Ad_2,inactive,,,,100,Daily,0.06,11,11,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-05T18:55:09-0300,-,-,-,Manual_Traffic_Ad_Set_1
2026-02-25,2026-03-26,Traffic_Ad_3,inactive,1,actions:omni_landing_page_view,0.53,100,Daily,0.53,40,40,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-05T18:55:09-0300,-,-,-,Manual_Traffic_Ad_Set_1
2026-02-25,2026-03-26,Traffic_Ad_2,inactive,44,actions:omni_landing_page_view,0.76863636,175,Daily,33.82,3378,3368,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-08T14:09:37-0300,"Above average",Average,"Below average - Bottom 20% of ads",Manual_Traffic_Ad_Set_2
2026-02-25,2026-03-26,Traffic_Ad_3,inactive,6,actions:omni_landing_page_view,0.54833333,175,Daily,3.29,337,336,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-08T14:09:37-0300,-,-,-,Manual_Traffic_Ad_Set_2
2026-02-25,2026-03-26,Traffic_Ad_1,inactive,,,,175,Daily,0.11,19,19,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-08T14:09:37-0300,-,-,-,Manual_Traffic_Ad_Set_2
2026-02-25,2026-03-26,"Instagram post: Já imaginou reservar esse refúgio...",inactive,1,actions:link_click,0.01,"Using campaign budget",0,0.01,20,20,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-05T15:25:29-0300,-,-,-,"Instagram Post"
2026-02-25,2026-03-26,Traffic_Ad_1,inactive,21,actions:omni_landing_page_view,2.06571429,100,Daily,43.38,4892,4810,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-05T15:56:23-0300,"Above average",Average,"Below average - Bottom 10% of ads",Manual_Traffic_Ad_Set_3
2026-02-25,2026-03-26,Traffic_Ad_2,inactive,37,actions:omni_landing_page_view,1.16864865,175,Daily,43.24,3492,3347,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-05T16:34:48-0300,"Above average",Average,"Below average - Bottom 20% of ads",Manual_Traffic_Ad_Set_4
2026-02-25,2026-03-26,Traffic_Ad_4,not_delivering,280,actions:omni_landing_page_view,0.40864286,65,Daily,114.42,25002,19653,2026-03-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-08T14:04:46-0300,"Above average",Average,"Below average - Bottom 20% of ads",Manual_Traffic_Ad_Set_5
2026-02-25,2026-03-26,Traffic_Ad_4,not_delivering,323,actions:omni_landing_page_view,0.32888545,130,Daily,106.23,17735,15403,2026-03-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-08T19:46:17-0300,"Above average","Above average","Below average - Bottom 20% of ads","Manual_Traffic_Ad_Set_5 - Copy"
